Gene Symbol,Gene Accession Id,Allele Symbol,Allele Accession Id,Phenotyping Centre,Colony Id,Sex,Zygosity,Phenotype,Comment
Acod1,MGI:103206,Acod1<em1(IMPC)J>,MGI:5775820,JAX,JR29340,both,Homozygous , Viable,
Acot2,MGI:2159605,Acot2<em1(IMPC)J>,MGI:5763009,JAX,JR29110,both,Homozygous , Viable,
Acot4,MGI:2159621,Acot4<tm1b(KOMP)Wtsi>,MGI:5548768,UC Davis,BL3211,both,Homozygous , Viable,
Acot5,MGI:2384969,Acot5<tm1a(KOMP)Wtsi>,MGI:4364061,WTSI,MFCQ,both,Homozygous , Viable,
Acot6,MGI:1921287,Acot6<tm1a(KOMP)Wtsi>,MGI:4362231,WTSI,MBML,both,Homozygous , Viable,
Acsf2,MGI:2388287,Acsf2<tm1.1(KOMP)Vlcg>,MGI:5554927,JAX,JR24902,both,Homozygous , Viable,
Acsl5,MGI:1919129,Acsl5<tm1.1(KOMP)Vlcg>,MGI:5548610,UC Davis,BL3214,both,Homozygous , Viable,
Acsm1,MGI:2152200,Acsm1<em1(IMPC)Mhzh>,-,MARC,Acsm1_cas9_del29,both,Homozygous , Viable,
Acsm2,MGI:2385289,Acsm2<tm1.1(KOMP)Vlcg>,MGI:5554928,JAX,JR24654,both,Homozygous , Viable,
Actg2,MGI:104589,Actg2<em1(IMPC)J>,MGI:5807486,JAX,JR29949,both,Homozygous , Viable,
Actl10,MGI:1917612,Actl10<tm1a(EUCOMM)Wtsi>,MGI:5473172,WTSI,MGML,both,Homozygous , Viable,
Actl7b,MGI:1343053,Actl7b<tm1.1(KOMP)Vlcg>,MGI:5620312,UC Davis,TCPA0852Cre,both,Homozygous , Viable,
Actn4,MGI:1890773,Actn4<tm1a(EUCOMM)Wtsi>,MGI:4441842,WTSI,MCZU,both,Homozygous , Subviable,
Actr5,MGI:1924748,Actr5<tm2b(EUCOMM)Wtsi>,MGI:6120757,BCM,ACTFB,both,Homozygous , Lethal,
Actr6,MGI:1914269,Actr6<tm1a(EUCOMM)Wtsi>,MGI:4434280,WTSI,MEAC,both,Homozygous , Lethal,
Actr8,MGI:1860775,Actr8<tm1.1(KOMP)Vlcg>,MGI:5554924,JAX,JR24655,both,Homozygous , Lethal,
Actrt3,MGI:1923902,Actrt3<tm1.1(KOMP)Vlcg>,MGI:5632529,JAX,JR25861,both,Homozygous , Viable,
Acvr1b,MGI:1338944,Acvr1b<tm1.1(KOMP)Vlcg>,MGI:5548443,TCP,UCD-11377A-A5-2-1,both,Homozygous , Lethal,
Acvr1c,MGI:2661081,Acvr1c<tm1b(EUCOMM)Hmgu>,MGI:5634946,JAX,JR27560,both,Homozygous , Viable,
Acvr2a,MGI:102806,Acvr2a<tm1.1(KOMP)Vlcg>,MGI:5548333,TCP,BL3450,both,Homozygous , Subviable,
Acvr2b,MGI:87912,Acvr2b<tm1.1(KOMP)Vlcg>,MGI:5548915,UC Davis,BL3554,both,Homozygous , Subviable,
Acy1,MGI:87913,Acy1<em1(IMPC)J>,MGI:5784639,JAX,JR29499,both,Homozygous , Viable,
Acy3,MGI:1918920,Acy3<em1(IMPC)J>,MGI:5810346,JAX,JR30002,both,Homozygous , Viable,
Adad1,MGI:103258,Adad1<em1(IMPC)J>,MGI:5616653,JAX,JR25814,both,Homozygous , Subviable,
Adad2,MGI:1923023,Adad2<em1(IMPC)J>,MGI:5565206,JAX,JR25475,both,Homozygous , Viable,
Adal,MGI:1923144,Adal<tm1a(EUCOMM)Wtsi>,MGI:5302350,WTSI,MGVF,both,Homozygous , Viable,
Adam11,MGI:1098667,Adam11<tm1b(KOMP)Mbp>,MGI:5694165,MRC Harwell,H-ADAM11-A01-TM1B,both,Homozygous , Viable,
